"Country","Year","All Causes","Communicable & other Group I","Noncommunicable diseases","Injuries"
"Afghanistan","2012","68970","23259","35454","10256"
"Afghanistan","2000","86566","37561","37894","11111"
"Albania","2012","29903","3297","23098","3508"
"Albania","2000","36919","5068","27014","4837"
"Algeria","2012","34790","5963","25650","3177"
"Algeria","2000","38868","8253","26537","4078"
"Angola","2012","93709","52615","32236","8858"
"Angola","2000","115496","76145","30594","8757"
"Argentina","2012","26808","3706","20093","3009"
"Argentina","2000","29479","4348","21592","3540"
"Armenia","2012","35083","3719","28090","3274"
"Armenia","2000","35104","4956","27207","2942"
"Australia","2012","17696","1161","14458","2076"
"Australia","2000","20785","1333","16782","2671"
"Austria","2012","19763","934","16748","2082"
"Austria","2000","22536","1023","18654","2860"
"Azerbaijan","2012","33879","6634","24465","2781"
"Azerbaijan","2000","45307","11894","30046","3367"
"Bahamas","2012","30459","7820","19109","3530"
"Bahamas","2000","34269","11766","19522","2981"
"Bahrain","2012","25533","2861","20524","2148"
"Bahrain","2000","29903","2884","24337","2682"
"Bangladesh","2012","38814","12774","22507","3533"
"Bangladesh","2000","52136","23279","24288","4570"
"Barbados","2012","26768","4249","19498","3021"
"Barbados","2000","30067","5578","21766","2723"
"Belarus","2012","33783","2598","26283","4902"
"Belarus","2000","40636","3114","30369","7153"
"Belgium","2012","19878","1162","16246","2469"
"Belgium","2000","22910","1361","18351","3198"
"Belize","2012","31420","6164","19960","5297"
"Belize","2000","35540","7654","22066","5821"
"Benin","2012","65706","31393","29093","5220"
"Benin","2000","85433","49116","30436","5881"
"Bhutan","2012","44059","11694","24684","7682"
"Bhutan","2000","65068","24013","28324","12730"
"Bolivia (Plurinational State of)","2012","44087","12622","25553","5911"
"Bolivia (Plurinational State of)","2000","56175","20214","28913","7048"
"Bosnia and Herzegovina","2012","24000","1820","19278","2902"
"Bosnia and Herzegovina","2000","28285","2527","22456","3301"
"Botswana","2012","61513","32066","24566","4880"
"Botswana","2000","114728","86832","22838","5059"
"Brazil","2012","31632","4804","22160","4668"
"Brazil","2000","38100","7866","25523","4711"
"Brunei Darussalam","2012","22941","2205","18443","2292"
"Brunei Darussalam","2000","24686","2456","19545","2684"
"Bulgaria","2012","28771","2666","23273","2831"
"Bulgaria","2000","33608","3781","26309","3519"
"Burkina Faso","2012","70891","34532","30108","6251"
"Burkina Faso","2000","101477","66522","28661","6295"
"Burundi","2012","80027","40770","31116","8141"
"Burundi","2000","107301","65366","29861","12074"
"Cote d'Ivoire","2012","88856","48603","33045","7208"
"Cote d'Ivoire","2000","106763","70408","29904","6451"
"Cabo Verde","2012","31195","8291","20378","2526"
"Cabo Verde","2000","41048","13489","24358","3201"
"Cambodia","2012","40007","14772","20969","4266"
"Cambodia","2000","64725","34289","24222","6214"
"Cameroon","2012","77369","42373","29023","5972"
"Cameroon","2000","94590","59027","29107","6456"
"Canada","2012","18838","1311","15725","1802"
"Canada","2000","21044","1246","17691","2108"
"Central African Republic","2012","97115","65903","24491","6721"
"Central African Republic","2000","122132","90789","24905","6438"
"Chad","2012","94563","58484","29765","6314"
"Chad","2000","112973","74319","30243","8411"
"Chile","2012","21333","2001","16750","2581"
"Chile","2000","24547","2545","18807","3195"
"China","2012","24811","3282","18748","2781"
"China","2000","32966","7091","21614","4260"
"Colombia","2012","27188","4614","18258","4316"
"Colombia","2000","34477","6110","20269","8098"
"Comoros","2012","59673","25705","27638","6330"
"Comoros","2000","69054","32778","29912","6364"
"Congo","2012","70611","38994","25928","5690"
"Congo","2000","90299","58050","25841","6408"
"Costa Rica","2012","23017","2549","17960","2507"
"Costa Rica","2000","25405","3129","19528","2749"
"Croatia","2012","24063","1465","19964","2634"
"Croatia","2000","28663","2055","23251","3357"
"Cuba","2012","25180","2847","18988","3345"
"Cuba","2000","26736","3410","20193","3133"
"Cyprus","2012","15789","713","13230","1847"
"Cyprus","2000","21523","1042","17483","2998"
"Czech Republic","2012","22380","1631","17998","2751"
"Czech Republic","2000","26544","1700","21451","3393"
"Democratic People's Republic of Korea","2012","36756","7319","24527","4910"
"Democratic People's Republic of Korea","2000","47905","12683","28682","6541"
"Democratic Republic of the Congo","2012","92831","54455","29549","8826"
"Democratic Republic of the Congo","2000","104899","67894","27964","9041"
"Denmark","2012","20451","1285","17408","1758"
"Denmark","2000","23437","1176","19796","2465"
"Djibouti","2012","64677","33378","26117","5182"
"Djibouti","2000","75169","41149","28175","5845"
"Dominican Republic","2012","29597","6243","18424","4931"
"Dominican Republic","2000","34618","10404","20300","3914"
"Ecuador","2012","29357","6131","18451","4775"
"Ecuador","2000","35058","9208","20958","4892"
"Egypt","2012","35784","5450","28011","2323"
"Egypt","2000","43150","9772","30729","2649"
"El Salvador","2012","36007","5586","21919","8501"
"El Salvador","2000","39697","8260","22890","8548"
"Equatorial Guinea","2012","82201","43229","30872","8101"
"Equatorial Guinea","2000","98162","56240","33522","8400"
"Eritrea","2012","57089","24397","27269","5422"
"Eritrea","2000","123729","42581","32160","48989"
"Estonia","2012","26242","2005","21355","2883"
"Estonia","2000","36400","3067","27417","5917"
"Ethiopia","2012","54964","28224","21724","5017"
"Ethiopia","2000","94034","58869","25962","9203"
"Fiji","2012","39681","6422","29699","3560"
"Fiji","2000","44300","7594","32408","4299"
"Finland","2012","19843","776","16563","2504"
"Finland","2000","22800","1237","18317","3246"
"France","2012","19104","1115","15734","2254"
"France","2000","22097","1348","17777","2972"
"Gabon","2012","58498","30811","23004","4683"
"Gabon","2000","68540","40010","23397","5132"
