Country,Year,Total expenditure on health as a percentage of gross domestic product,General government expenditure on health as a percentage of total expenditure on health,Private expenditure on health as a percentage of total expenditure on health,General government expenditure on health as a percentage of total government expenditure,External resources for health as a percentage of total expenditure on health,Social security expenditure on health as a percentage of general government expenditure on health,Out-of-pocket expenditure as a percentage of private expenditure on health,Out-of-pocket expenditure as a percentage of total expenditure on health,Private prepaid plans as a percentage of private expenditure on health
Afghanistan,2012,8.5,20.8,75.3,7.1,21.7,,93.6,70.5,0
Afghanistan,2000,,,,,,,,,
Albania,2012,5.6,49.3,50.7,9.8,3.6,74.1,99.7,50.5,
Albania,2000,6.3,36.1,63.9,7.1,6,20.4,99.9,63.8,0
Algeria,2012,6,73.5,26.5,9.8,0.1,29.1,97.2,25.8,2.7
Algeria,2000,3.5,73.3,26.7,8.8,0.1,35.5,96.7,25.8,3.1
Andorra,2012,8.3,76.6,23.4,23.1,,24.2,74.6,17.5,23.3
Andorra,2000,6,64.8,35.2,19.1,0,88.1,75.5,26.6,22.3
Angola,2012,3.5,62.2,37.8,5.6,1.7,0,70.5,26.7,0
Angola,2000,3.4,49.5,50.5,2.9,2.5,0,71.4,36.1,0
Antigua and Barbuda,2012,5.4,68,32,17.2,0,7.6,74.8,24,25.2
Antigua and Barbuda,2000,4.2,67.1,32.9,11.4,,0,79.4,26.2,20.6
Argentina,2012,6.8,69.3,30.7,22.5,0.7,52.8,65.5,20.1,25.9
Argentina,2000,7.6,53.9,46.1,14.7,0,59.6,63,29,30.7
Armenia,2012,4.5,41.8,58.2,7.9,6.4,0,93.8,54.6,6.1
Armenia,2000,6.3,18.2,81.8,5.3,8.7,0,94.5,77.3,
Australia,2012,9.4,67.2,32.8,18.7,,0,57.1,18.7,25.4
Australia,2000,8.1,66.9,33.2,15.1,,0,59.7,19.8,21.8
Austria,2012,11.1,75.9,24.1,16.3,0,55.1,65.2,15.7,18.5
Austria,2000,10,75.6,24.4,14.6,0,58.6,62.1,15.1,19.4
Azerbaijan,2012,5.4,22.6,77.4,3.8,1,0,89.1,69,0.7
Azerbaijan,2000,4.7,18.6,81.4,5.4,4,0,77.7,63.3,0.3
Bahamas,2012,7.3,45.1,54.9,15.1,0,0,54,29.6,45.1
Bahamas,2000,5.2,48.1,51.9,14.8,0,1.8,40.2,20.9,58.6
Bahrain,2012,4.4,70.1,29.9,9.3,0,1.5,53.6,16,30.6
Bahrain,2000,3.5,67.3,32.7,10.7,0,0.4,68,22.2,25.2
Bangladesh,2012,3.5,31.9,68.1,6.8,8.3,0,93,63.3,0.1
Bangladesh,2000,2.6,40.7,59.3,7.4,7.3,0,97.4,57.8,0.1
Barbados,2012,6.8,60.9,39.1,9.9,2.1,0.2,81.9,32,18.1
Barbados,2000,5.2,65.8,34.2,11.7,4,0,77.3,26.4,22.7
Belarus,2012,5,77.2,22.8,13.2,0.6,0,85.3,19.5,1.2
Belarus,2000,6.1,75.5,24.5,10.1,0.1,0,57.1,14,0.1
Belgium,2012,10.9,75.2,24.8,14.9,,85.5,82.3,20.4,16.9
Belgium,2000,8.1,74.6,25.4,12.3,,85.4,80.9,20.5,15.4
Belize,2012,5.3,64.9,35.1,12.1,1.2,13.9,69.8,24.5,16.8
Belize,2000,4,52.6,47.4,6.5,2.1,0,82.3,39,2.7
Benin,2012,5,57.4,42.6,13.5,26.2,0.1,89.3,38,10.6
Benin,2000,4.3,44.2,55.8,10,17,0.5,99.9,55.7,0.1
Bhutan,2012,3.6,73.4,26.6,6.1,8.6,0,97.1,25.9,1.2
Bhutan,2000,6.7,79.3,20.7,12.2,21.3,0,100,20.7,0
Bolivia (Plurinational State of),2012,5.8,71.8,28.2,9.5,3.8,50.9,82.2,23.2,15.5
Bolivia (Plurinational State of),2000,6.1,60.1,39.9,9.8,6,62,81.6,32.6,8.1
Bosnia and Herzegovina,2012,10.1,71.2,28.8,16.6,1.7,91,96.7,27.8,0.8
Bosnia and Herzegovina,2000,7.1,56.7,43.3,11.4,9,97.7,100,43.3,
Botswana,2012,5.5,58.1,41.9,8.8,14.8,,12.7,5.3,79.9
Botswana,2000,4.7,62.2,37.8,7.4,0.5,,36.7,13.9,4.1
Brazil,2012,9.5,47.5,52.5,7.9,0.1,0,57.8,30.3,40.4
Brazil,2000,7.2,40.3,59.7,4.1,0.5,0,63.6,38,34.3
Brunei Darussalam,2012,2.3,91.8,8.2,6,0,0,97.8,8,1.1
Brunei Darussalam,2000,3,86.5,13.5,6.3,0,0,98.8,13.3,0.6
Bulgaria,2012,7.4,56.3,43.7,11.7,,76.4,97.3,42.5,1
Bulgaria,2000,6.2,60.9,39.1,9.1,1.9,12,100,39.1,
Burkina Faso,2012,6.1,58.5,41.5,13.5,30.5,0.2,82.7,34.4,2.8
Burkina Faso,2000,5.1,39.6,60.4,8.8,13.9,0.8,94.3,56.9,1
Burundi,2012,8.2,60.1,39.9,14.1,43.5,13.6,54.9,21.9,2.7
Burundi,2000,6.3,30.6,69.4,7.3,18.7,29.5,73,50.6,0.2
Cabo Verde,2012,4.6,72.4,27.6,10,22.4,29.6,88.3,24.3,3.7
Cabo Verde,2000,4.8,73.3,26.7,9.9,13,34.9,95.2,25.5,2.6
Cambodia,2012,7.3,19.7,80.3,6.7,20.2,0,75,60.3,0.3
Cambodia,2000,5.8,22.2,77.8,8.7,9.3,,99.4,77.3,0.2
Cameroon,2012,5,32.4,67.6,8.5,9.1,2.6,94.2,63.7,
Cameroon,2000,4.4,21,79,6.1,4.2,3.9,94.4,74.6,
Canada,2012,10.9,70.1,29.9,18.5,,1.9,50.1,15,41
Canada,2000,8.7,70.4,29.6,15.1,,1.9,53.7,15.9,38.8
Central African Republic,2012,3.8,51.1,48.9,11.4,32.3,,90.4,44.2,1.8
Central African Republic,2000,4.3,50.2,49.8,12.9,19.1,,93,46.3,1.2
Chad,2012,3.6,38.1,61.9,5.9,9.9,,96.7,59.8,0.3
Chad,2000,6.3,42.5,57.5,13.1,24.9,,96.2,55.3,0.4
