Country,Country Code,Indicator Name,2000,2012
Aruba,ABW,"Life expectancy at birth, total (years)",73.72060976,75.2057561
Andorra,AND,"Life expectancy at birth, total (years)",,
Afghanistan,AFG,"Life expectancy at birth, total (years)",55.12587805,59.67960976
Angola,AGO,"Life expectancy at birth, total (years)",45.20478049,51.464
Albania,ALB,"Life expectancy at birth, total (years)",74.27153659,77.44397561
Arab World,ARB,"Life expectancy at birth, total (years)",67.6518681,70.15865972
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",74.45153659,77.02414634
Argentina,ARG,"Life expectancy at birth, total (years)",73.75580488,75.8162439
Armenia,ARM,"Life expectancy at birth, total (years)",71.27658537,74.45209756
American Samoa,ASM,"Life expectancy at birth, total (years)",,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",73.39729268,75.62180488
Australia,AUS,"Life expectancy at birth, total (years)",79.23414634,82.04634146
Austria,AUT,"Life expectancy at birth, total (years)",78.12682927,80.93658537
Azerbaijan,AZE,"Life expectancy at birth, total (years)",66.7582439,70.62395122
Burundi,BDI,"Life expectancy at birth, total (years)",51.4854878,55.78929268
Belgium,BEL,"Life expectancy at birth, total (years)",77.72195122,80.38536585
Benin,BEN,"Life expectancy at birth, total (years)",55.1882439,59.12197561
Burkina Faso,BFA,"Life expectancy at birth, total (years)",50.34592683,57.87931707
Bangladesh,BGD,"Life expectancy at birth, total (years)",65.34797561,70.86026829
Bulgaria,BGR,"Life expectancy at birth, total (years)",71.66341463,74.31463415
Bahrain,BHR,"Life expectancy at birth, total (years)",74.5994878,76.40763415
Bahamas,BHS,"Life expectancy at birth, total (years)",72.25429268,74.91446341
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",74.26073171,76.12017073
Belarus,BLR,"Life expectancy at birth, total (years)",68.91219512,71.96585366
Belize,BLZ,"Life expectancy at birth, total (years)",68.41887805,69.90514634
Bermuda,BMU,"Life expectancy at birth, total (years)",77.88536585,81.67780488
Bolivia (Plurinational State of),BOL,"Life expectancy at birth, total (years)",60.69004878,67.44546341
Brazil,BRA,"Life expectancy at birth, total (years)",70.04197561,73.83958537
Barbados,BRB,"Life expectancy at birth, total (years)",73.2195122,75.17102439
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",75.28880488,78.25258537
Bhutan,BTN,"Life expectancy at birth, total (years)",60.65039024,68.72290244
Botswana,BWA,"Life expectancy at birth, total (years)",48.69363415,64.22273171
Central African Republic,CAF,"Life expectancy at birth, total (years)",44.59729268,49.10529268
Canada,CAN,"Life expectancy at birth, total (years)",79.23658537,81.56243902
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",72.71969035,75.9934886
Switzerland,CHE,"Life expectancy at birth, total (years)",79.6804878,82.69756098
Channel Islands,CHI,"Life expectancy at birth, total (years)",77.5145122,80.31865854
Chile,CHL,"Life expectancy at birth, total (years)",76.82082927,80.89485366
China,CHN,"Life expectancy at birth, total (years)",71.73046341,75.39292683
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",46.69939024,50.86334146
Cameroon,CMR,"Life expectancy at birth, total (years)",51.93587805,54.5875122
Congo,COG,"Life expectancy at birth, total (years)",50.58987805,60.92390244
Colombia,COL,"Life expectancy at birth, total (years)",70.98870732,73.63078049
Comoros,COM,"Life expectancy at birth, total (years)",59.43890244,62.58297561
Cabo Verde,CPV,"Life expectancy at birth, total (years)",69.72439024,72.82821951
Costa Rica,CRI,"Life expectancy at birth, total (years)",77.42268293,79.05353659
Caribbean small states,CSS,"Life expectancy at birth, total (years)",70.19058366,72.54548474
Cuba,CUB,"Life expectancy at birth, total (years)",76.64480488,79.14160976
Curacao,CUW,"Life expectancy at birth, total (years)",,
Cayman Islands,CYM,"Life expectancy at birth, total (years)",,
Cyprus,CYP,"Life expectancy at birth, total (years)",77.97168293,79.76226829
Czech Republic,CZE,"Life expectancy at birth, total (years)",74.96829268,78.07560976
Germany,DEU,"Life expectancy at birth, total (years)",77.92682927,80.89268293
Djibouti,DJI,"Life expectancy at birth, total (years)",57.01034146,61.29597561
Dominica,DMA,"Life expectancy at birth, total (years)",,
Denmark,DNK,"Life expectancy at birth, total (years)",76.59268293,80.05121951
Dominican Republic,DOM,"Life expectancy at birth, total (years)",70.63373171,73.13531707
Algeria,DZA,"Life expectancy at birth, total (years)",70.18390244,74.32409756
East Asia & Pacific (developing only),EAP,"Life expectancy at birth, total (years)",70.38437308,73.6222531
East Asia & Pacific (all income levels),EAS,"Life expectancy at birth, total (years)",71.39122554,74.55052169
Europe & Central Asia (developing only),ECA,"Life expectancy at birth, total (years)",68.89345256,72.17216176
Europe & Central Asia (all income levels),ECS,"Life expectancy at birth, total (years)",73.0248189,76.55972526
Ecuador,ECU,"Life expectancy at birth, total (years)",72.94417073,75.433
Egypt,EGY,"Life expectancy at birth, total (years)",68.5907561,70.72914634
Euro area,EMU,"Life expectancy at birth, total (years)",78.27412635,81.31221587
Eritrea,ERI,"Life expectancy at birth, total (years)",56.02502439,62.64497561
Spain,ESP,"Life expectancy at birth, total (years)",78.96585366,82.42682927
Estonia,EST,"Life expectancy at birth, total (years)",70.41707317,76.32682927
Ethiopia,ETH,"Life expectancy at birth, total (years)",51.93034146,62.79353659
European Union,EUU,"Life expectancy at birth, total (years)",77.15746403,80.30779516
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",56.89321044,61.19468746
Finland,FIN,"Life expectancy at birth, total (years)",77.46585366,80.62682927
Fiji,FJI,"Life expectancy at birth, total (years)",67.60585366,69.74321951
France,FRA,"Life expectancy at birth, total (years)",79.05609756,81.96829268
Faroe Islands,FRO,"Life expectancy at birth, total (years)",78.43658537,81.1902439
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",67.2752439,68.85070732
Gabon,GAB,"Life expectancy at birth, total (years)",59.3394878,63.28073171
United Kingdom,GBR,"Life expectancy at birth, total (years)",77.74146341,80.90487805
Georgia,GEO,"Life expectancy at birth, total (years)",71.61582927,74.35270732
Ghana,GHA,"Life expectancy at birth, total (years)",56.98709756,60.97702439
Guinea,GIN,"Life expectancy at birth, total (years)",51.24290244,57.63763415
Gambia,GMB,"Life expectancy at birth, total (years)",55.57607317,59.77814634
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",51.44543902,54.5035122
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",52.10863415,56.89026829
Greece,GRC,"Life expectancy at birth, total (years)",77.88780488,80.63414634
Grenada,GRD,"Life expectancy at birth, total (years)",70.25160976,73.00226829
Greenland,GRL,"Life expectancy at birth, total (years)",66.96341463,71.30926829
Guatemala,GTM,"Life expectancy at birth, total (years)",67.74270732,71.24939024
Guam,GUM,"Life expectancy at birth, total (years)",75.09802439,78.6175122
Guyana,GUY,"Life expectancy at birth, total (years)",64.97314634,66.21726829
High income,HIC,"Life expectancy at birth, total (years)",75.97346769,78.93258483
