group,source,target,value
Communicable & other Group I,Communicable & other Group I,Infectious and parasitic diseases,432445665
Communicable & other Group I,Infectious and parasitic diseases,Tuberculosis,43649849
Communicable & other Group I,Infectious and parasitic diseases,STDs excluding HIV,9920672
Communicable & other Group I,Infectious and parasitic diseases,HIV/AIDS,91907414
Communicable & other Group I,Infectious and parasitic diseases,Diarrhoeal diseases,99727476
Communicable & other Group I,Infectious and parasitic diseases,Childhood-cluster diseases,23552576
Communicable & other Group I,Infectious and parasitic diseases,Meningitis,30182266
Communicable & other Group I,Infectious and parasitic diseases,Encephalitis,5417511
Communicable & other Group I,Infectious and parasitic diseases,Acute hepatitis B,6416156
Communicable & other Group I,Infectious and parasitic diseases,Acute hepatitis C,1269760
Communicable & other Group I,Infectious and parasitic diseases,Parasitic and vector diseases,72005822
Communicable & other Group I,Infectious and parasitic diseases,Intestinal nematode infections,5266430
Communicable & other Group I,Infectious and parasitic diseases,Other infectious diseases,43129736
Communicable & other Group I,Communicable & other Group I,Respiratory infections,154163066
Communicable & other Group I,Respiratory infections,Lower respiratory infections,146857373
Communicable & other Group I,Respiratory infections,Upper respiratory infections,2072253
Communicable & other Group I,Respiratory infections,Otitis media,5233441
Communicable & other Group I,Communicable & other Group I,Maternal conditions,20091558
Communicable & other Group I,Communicable & other Group I,Neonatal conditions,236937507
Communicable & other Group I,Neonatal conditions,Preterm birth complications,107210473
Communicable & other Group I,Neonatal conditions,Birth asphyxia and birth trauma,74599753
Communicable & other Group I,Neonatal conditions,Neonatal sepsis and infections,39645785
Communicable & other Group I,Neonatal conditions,Other neonatal conditions,15481496
Communicable & other Group I,Communicable & other Group I,Nutritional deficiencies,82079756
Communicable & other Group I,Nutritional deficiencies,Protein-energy malnutrition,28450733
Communicable & other Group I,Nutritional deficiencies,Iodine deficiency,4198358
Communicable & other Group I,Nutritional deficiencies,Vitamin A deficiency,1536520
Communicable & other Group I,Nutritional deficiencies,Iron-deficiency anaemia,47626947
Communicable & other Group I,Nutritional deficiencies,Other nutritional deficiencies,267198
Noncommunicable diseases,Noncommunicable diseases,Malignant neoplasms,223936458
Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,9588951
Noncommunicable diseases,Malignant neoplasms,Oesophagus cancer,10286062
Noncommunicable diseases,Malignant neoplasms,Stomach cancer,18372034
Noncommunicable diseases,Malignant neoplasms,Colon and rectum cancers,17516662
Noncommunicable diseases,Malignant neoplasms,Liver cancer,21263928
Noncommunicable diseases,Malignant neoplasms,Pancreas cancer,7688868
Noncommunicable diseases,Malignant neoplasms,"Trachea, bronchus, lung cancers",38532719
Noncommunicable diseases,Malignant neoplasms,Melanoma and other skin cancers,2624081
Noncommunicable diseases,Malignant neoplasms,Breast cancer,17717397
Noncommunicable diseases,Malignant neoplasms,Cervix uteri cancer,9190443
Noncommunicable diseases,Malignant neoplasms,Corpus uteri cancer,2090119
Noncommunicable diseases,Malignant neoplasms,Ovary cancer,4541459
Noncommunicable diseases,Malignant neoplasms,Prostate cancer,5829921
Noncommunicable diseases,Malignant neoplasms,Bladder cancer,3539698
Noncommunicable diseases,Malignant neoplasms,"Lymphomas, multiple myeloma",9103504
Noncommunicable diseases,Malignant neoplasms,Leukaemia,10663642
Noncommunicable diseases,Malignant neoplasms,Other malignant neoplasms,35386971
Noncommunicable diseases,Noncommunicable diseases,Other neoplasms,5230224
Noncommunicable diseases,Noncommunicable diseases,Diabetes mellitus,59252410
Noncommunicable diseases,Noncommunicable diseases,"Endocrine, blood, immune disorders",27413176
Noncommunicable diseases,Noncommunicable diseases,Mental and behavioral disorders,204110067
Noncommunicable diseases,Mental and behavioral disorders,Unipolar depressive disorders,76500239
Noncommunicable diseases,Mental and behavioral disorders,Bipolar disorder,13287236
Noncommunicable diseases,Mental and behavioral disorders,Schizophrenia,14109537
Noncommunicable diseases,Mental and behavioral disorders,Alcohol use disorders,36248777
Noncommunicable diseases,Mental and behavioral disorders,Drug use disorders,15179481
Noncommunicable diseases,Mental and behavioral disorders,Anxiety disorders,27550973
Noncommunicable diseases,Mental and behavioral disorders,Eating disorders,2291921
Noncommunicable diseases,Mental and behavioral disorders,Pervasive developmental disorders,7840816
Noncommunicable diseases,Mental and behavioral disorders,Childhood behavioural disorders,6208773
Noncommunicable diseases,Mental and behavioral disorders,Idiopathic intellectual disability,3236659
Noncommunicable diseases,Mental and behavioral disorders,Other mental and behavioural disorders,1655655
Noncommunicable diseases,Noncommunicable diseases,Neurological conditions,79421664
Noncommunicable diseases,Neurological conditions,Alzheimer's disease and other dementias,18206090
Noncommunicable diseases,Neurological conditions,Parkinson's disease,2460492
Noncommunicable diseases,Neurological conditions,Epilepsy,20639798
Noncommunicable diseases,Neurological conditions,Multiple sclerosis,1165449
Noncommunicable diseases,Neurological conditions,Migraine,18537876
Noncommunicable diseases,Neurological conditions,Non-migraine headache,1835905
Noncommunicable diseases,Neurological conditions,Other neurological conditions,16576053
Noncommunicable diseases,Noncommunicable diseases,Sense organ diseases,52869616
Noncommunicable diseases,Sense organ diseases,Glaucoma,1263498
Noncommunicable diseases,Sense organ diseases,Cataracts,6917356
Noncommunicable diseases,Sense organ diseases,Refractive errors,13498148
Noncommunicable diseases,Sense organ diseases,Macular degeneration,1430038
Noncommunicable diseases,Sense organ diseases,Other vision loss,7528321
Noncommunicable diseases,Sense organ diseases,Other hearing loss,22075937
Noncommunicable diseases,Sense organ diseases,other sense organ disorders,156320
Noncommunicable diseases,Noncommunicable diseases,Cardiovascular diseases,393740092
Noncommunicable diseases,Cardiovascular diseases,Rheumatic heart disease,11953766
Noncommunicable diseases,Cardiovascular diseases,Hypertensive heart disease,23400391
Noncommunicable diseases,Cardiovascular diseases,Ischaemic heart disease,165684933
Noncommunicable diseases,Cardiovascular diseases,Stroke,141333193
Noncommunicable diseases,Cardiovascular diseases,"Cardiomyopathy, myocarditis, endocarditis",14602196
Noncommunicable diseases,Cardiovascular diseases,Other circulatory diseases,36765608
Noncommunicable diseases,Noncommunicable diseases,Respiratory diseases,137091121
Noncommunicable diseases,Respiratory diseases,Chronic obstructive pulmonary disease,92360208
Noncommunicable diseases,Respiratory diseases,Asthma,25202293
Noncommunicable diseases,Respiratory diseases,Other respiratory diseases,19528621
Noncommunicable diseases,Noncommunicable diseases,Digestive diseases,78038988
Noncommunicable diseases,Digestive diseases,Peptic ulcer disease,8150998
Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,36038868
Noncommunicable diseases,Digestive diseases,Appendicitis,1927951
Noncommunicable diseases,Digestive diseases,Other digestive diseases,31921171
Noncommunicable diseases,Noncommunicable diseases,Genitourinary diseases,56571291
Noncommunicable diseases,Genitourinary diseases,Kidney diseases,29681770
Noncommunicable diseases,Genitourinary diseases,Hyperplasia of prostate,5475865
Noncommunicable diseases,Genitourinary diseases,Urolithiasis,1578548
Noncommunicable diseases,Genitourinary diseases,Other genitourinary diseases,7840033
Noncommunicable diseases,Genitourinary diseases,Infertility,1439561
Noncommunicable diseases,Genitourinary diseases,Gynecological diseases,10555515
Noncommunicable diseases,Noncommunicable diseases,Skin diseases,19247781
Noncommunicable diseases,Noncommunicable diseases,Musculoskeletal diseases,111479729
Noncommunicable diseases,Musculoskeletal diseases,Rheumatoid arthritis,5674643
Noncommunicable diseases,Musculoskeletal diseases,Osteoarthritis,18145924
Noncommunicable diseases,Musculoskeletal diseases,Gout,130597
Noncommunicable diseases,Musculoskeletal diseases,Back and neck pain,53919659
Noncommunicable diseases,Musculoskeletal diseases,Other musculoskeletal disorders,33608906
Noncommunicable diseases,Noncommunicable diseases,Congenital anomalies,52532422
Noncommunicable diseases,Congenital anomalies,Neural tube defects,8592863
Noncommunicable diseases,Congenital anomalies,Cleft lip and cleft palate,656927
Noncommunicable diseases,Congenital anomalies,Down's syndrome,2691652
Noncommunicable diseases,Congenital anomalies,Congenital heart anomalies,19784476
Noncommunicable diseases,Congenital anomalies,Other chromosomal anomalies,2741321
Noncommunicable diseases,Congenital anomalies,Other congenital anomalies,18065183
